SEASON,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,AST,OREB,DREB,REB,TOV,STL,BLK,BLKA,PF,PFD,PLUS_MINUS,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,RESTRICTED_AREA_FGM,RESTRICTED_AREA_FGA,RESTRICTED_AREA_FG_PCT,IN_THE_PAINT_(NON-RA)_FGM,IN_THE_PAINT_(NON-RA)_FGA,IN_THE_PAINT_(NON-RA)_FG_PCT,MID-RANGE_FGM,MID-RANGE_FGA,MID-RANGE_FG_PCT,CORNER_3_FGM,CORNER_3_FGA,CORNER_3_FG_PCT,ABOVE_THE_BREAK_3_FGM,ABOVE_THE_BREAK_3_FGA,ABOVE_THE_BREAK_3_FG_PCT,PLAYOFF_GP,PLAYOFF_W,PLAYOFF_L,PLAYOFF_W_PCT
1996-97,1610612737,Atlanta Hawks,82,56,26,0.683,48.3,94.8,34.3,76.9,0.446,8.0,22.4,0.36,18.2,23.8,0.763,19.0,12.5,28.7,41.1,15.0,8.5,5.2,4.0,19.4,0.1,5.4,16.1,14.4,11.3,36.6,17.8,13.2,8.9,35.1,0.709,0.291,0.554,0.183,0.254,0.094,0.192,0.188,0.37,0.505,0.495,0.712,0.288,0.554,0.446,14.7,27.0,0.543,2.9,6.6,0.436,11.9,29.9,0.399,1.5,3.8,0.401,3.4,9.7,0.349,10.0,4.0,6.0,0.4
1996-97,1610612738,Boston Celtics,82,15,67,0.183,48.5,100.6,37.4,85.0,0.44,5.7,16.2,0.351,20.1,26.8,0.75,21.9,13.3,26.7,40.0,16.4,9.9,3.8,6.8,23.4,0.1,-7.3,19.0,14.6,15.9,52.7,20.4,15.4,16.5,45.1,0.809,0.191,0.63,0.182,0.17,0.164,0.2,0.203,0.449,0.542,0.458,0.822,0.178,0.584,0.416,19.3,44.0,0.438,3.3,6.9,0.478,11.4,23.8,0.477,1.4,3.3,0.43,2.1,7.1,0.298,0.0,0.0,0.0,0.0
1996-97,1610612766,Charlotte Hornets,82,54,28,0.659,48.3,98.9,36.4,77.3,0.471,7.2,16.9,0.428,18.8,24.2,0.777,24.6,11.1,28.0,39.1,14.7,7.3,4.3,4.1,20.8,0.2,1.9,16.3,16.1,11.1,42.6,16.7,13.1,11.0,38.0,0.782,0.218,0.591,0.206,0.219,0.111,0.19,0.169,0.385,0.627,0.373,0.876,0.124,0.676,0.324,16.5,37.3,0.442,2.5,5.2,0.487,14.1,27.7,0.51,1.5,2.4,0.617,2.2,5.5,0.395,3.0,0.0,3.0,0.0
1996-97,1610612741,Chicago Bulls,82,69,13,0.841,48.1,103.1,40.0,84.4,0.473,6.4,17.1,0.373,16.8,22.5,0.747,26.1,15.1,30.0,45.1,13.5,8.7,4.0,3.5,19.7,0.2,10.8,14.2,14.4,10.5,38.5,18.6,16.5,12.4,36.7,0.797,0.203,0.651,0.296,0.186,0.12,0.163,0.18,0.356,0.621,0.379,0.826,0.174,0.654,0.346,14.6,26.6,0.548,3.8,8.0,0.468,18.8,41.5,0.452,0.8,2.0,0.412,2.2,6.5,0.33,19.0,15.0,4.0,0.789
1996-97,1610612739,Cleveland Cavaliers,82,42,40,0.512,48.4,87.5,33.0,72.8,0.453,5.9,15.7,0.376,15.6,21.6,0.723,20.9,11.1,26.3,37.4,14.5,8.0,3.8,4.3,23.0,0.2,1.8,15.7,11.3,8.8,33.2,18.2,12.0,8.2,32.7,0.785,0.215,0.619,0.246,0.202,0.094,0.179,0.208,0.374,0.594,0.406,0.816,0.184,0.634,0.366,13.2,23.8,0.557,3.1,8.2,0.381,14.4,34.5,0.417,1.0,2.6,0.367,1.3,3.9,0.345,0.0,0.0,0.0,0.0
1996-97,1610612742,Dallas Mavericks,82,24,58,0.293,48.3,90.6,34.3,78.7,0.436,5.2,16.0,0.326,16.8,23.4,0.717,20.3,12.7,27.6,40.3,16.1,8.0,4.3,5.3,21.9,0.2,-6.4,17.5,13.7,14.6,39.1,16.6,14.0,13.5,39.1,0.796,0.204,0.642,0.21,0.173,0.149,0.185,0.183,0.432,0.544,0.456,0.853,0.147,0.591,0.409,15.5,27.4,0.564,4.1,10.3,0.398,12.3,33.4,0.368,1.0,2.7,0.366,1.5,5.0,0.307,0.0,0.0,0.0,0.0
1996-97,1610612743,Denver Nuggets,82,21,61,0.256,48.6,97.8,35.8,81.5,0.439,7.8,20.9,0.372,18.5,24.3,0.761,23.0,12.1,29.9,42.0,16.6,6.1,5.9,5.5,21.8,0.2,-6.3,19.3,15.6,13.4,45.4,14.1,14.2,12.1,35.1,0.744,0.256,0.573,0.214,0.238,0.124,0.189,0.144,0.359,0.595,0.405,0.821,0.179,0.644,0.356,13.0,24.4,0.534,4.6,9.8,0.467,14.2,36.4,0.392,0.9,2.7,0.341,3.1,8.4,0.365,0.0,0.0,0.0,0.0
1996-97,1610612765,Detroit Pistons,82,54,28,0.659,48.4,94.2,34.5,74.3,0.464,7.1,18.3,0.388,18.1,24.3,0.745,19.0,10.5,28.0,38.4,12.7,7.7,3.5,3.4,20.1,0.2,5.2,14.0,13.2,9.5,32.2,17.3,12.4,10.5,34.9,0.754,0.246,0.581,0.211,0.226,0.111,0.193,0.184,0.37,0.459,0.541,0.899,0.101,0.55,0.45,13.9,23.9,0.584,3.5,8.7,0.403,12.2,29.1,0.419,1.5,4.0,0.368,3.4,8.7,0.392,5.0,2.0,3.0,0.4
1996-97,1610612744,Golden State Warriors,82,30,52,0.366,48.5,99.6,36.5,80.1,0.456,5.9,16.6,0.353,20.7,26.6,0.778,22.2,13.2,27.5,40.8,17.2,7.5,4.4,4.8,21.8,0.1,-4.7,20.7,15.2,12.2,43.4,17.2,15.3,9.7,40.7,0.792,0.208,0.616,0.207,0.177,0.097,0.208,0.173,0.408,0.578,0.422,0.765,0.235,0.608,0.392,15.5,26.8,0.578,4.9,11.0,0.442,13.7,34.8,0.395,0.8,1.9,0.397,1.7,5.6,0.307,0.0,0.0,0.0,0.0
1996-97,1610612745,Houston Rockets,82,57,25,0.695,48.4,100.6,37.0,79.1,0.468,8.2,22.4,0.365,18.3,24.3,0.755,24.5,11.3,31.3,42.6,16.6,8.4,4.2,4.5,19.6,0.2,4.5,18.2,14.2,12.7,39.7,16.4,13.3,12.0,42.9,0.716,0.284,0.574,0.147,0.244,0.119,0.182,0.163,0.426,0.615,0.385,0.833,0.167,0.663,0.337,16.0,26.8,0.596,5.5,11.5,0.473,11.8,30.6,0.386,1.4,3.4,0.409,2.4,6.6,0.36,16.0,9.0,7.0,0.563
1996-97,1610612754,Indiana Pacers,82,39,43,0.476,48.6,95.4,34.8,76.3,0.456,5.2,13.8,0.381,20.6,28.5,0.722,21.3,12.5,29.1,41.7,16.3,7.1,4.8,5.1,24.1,0.3,1.0,18.3,13.4,13.2,35.0,16.5,14.2,12.8,39.2,0.819,0.181,0.619,0.208,0.165,0.134,0.216,0.173,0.411,0.579,0.421,0.809,0.191,0.614,0.386,15.4,28.0,0.551,4.2,10.2,0.411,12.6,30.8,0.411,0.6,1.8,0.336,1.9,5.5,0.35,0.0,0.0,0.0,0.0
1996-97,1610612746,Los Angeles Clippers,82,36,46,0.439,48.6,97.2,36.5,81.7,0.446,5.8,16.3,0.354,18.5,25.3,0.731,20.3,13.3,27.3,40.7,16.0,8.9,5.4,5.1,24.0,0.1,-2.4,18.2,14.0,12.7,44.3,18.5,15.2,13.4,40.7,0.8,0.2,0.631,0.213,0.178,0.138,0.19,0.19,0.418,0.515,0.485,0.776,0.224,0.556,0.444,16.6,30.3,0.549,3.7,8.6,0.427,13.4,34.4,0.389,0.8,1.8,0.454,2.0,6.5,0.305,3.0,0.0,3.0,0.0
1996-97,1610612747,Los Angeles Lakers,82,56,26,0.683,48.6,100.0,36.8,81.0,0.454,6.7,18.3,0.367,19.7,28.4,0.692,22.5,13.3,29.4,42.8,14.9,9.0,7.0,4.7,22.2,0.1,4.3,16.1,14.9,13.6,40.5,18.7,14.2,15.3,46.5,0.774,0.226,0.602,0.136,0.202,0.153,0.197,0.187,0.465,0.587,0.413,0.717,0.283,0.611,0.389,18.5,33.9,0.546,4.8,10.9,0.439,9.5,25.4,0.375,1.0,2.2,0.458,3.2,9.0,0.352,9.0,4.0,5.0,0.444
1996-97,1610612748,Miami Heat,82,61,21,0.744,48.3,94.8,34.4,76.0,0.453,8.3,22.7,0.364,17.7,24.7,0.719,21.2,11.7,29.3,41.0,15.9,7.9,5.4,4.8,23.4,0.3,5.5,17.1,12.9,9.4,37.7,18.6,13.2,12.3,37.6,0.701,0.299,0.551,0.155,0.262,0.13,0.187,0.196,0.396,0.558,0.442,0.794,0.206,0.615,0.385,14.4,24.7,0.585,4.4,11.1,0.391,11.4,29.1,0.393,1.7,4.2,0.408,2.5,6.8,0.362,17.0,8.0,9.0,0.471
