SEASON,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
1996-97,1610612737,Atlanta Hawks,82,56,26,0.683,48.3,100.3,28.7,0.67,8.5,5.2,16.1,14.4,11.3,36.6,1,7,7,7,18,3,14,9,9,11,5,16,9,7
1996-97,1610612738,Boston Celtics,82,15,67,0.183,48.5,110.1,26.7,0.658,9.9,3.8,19.0,14.6,15.9,52.7,1,28,28,28,5,27,26,19,2,27,26,19,25,29
1996-97,1610612766,Charlotte Hornets,82,54,28,0.659,48.3,107.1,28.0,0.661,7.3,4.3,16.3,16.1,11.1,42.6,1,9,9,9,21,21,17,16,26,22,8,28,8,18
1996-97,1610612741,Chicago Bulls,82,69,13,0.841,48.1,100.7,30.0,0.67,8.7,4.0,14.2,14.4,10.5,38.5,1,1,1,1,29,4,4,10,7,25,2,17,6,9
1996-97,1610612739,Cleveland Cavaliers,82,42,40,0.512,48.4,100.8,26.3,0.681,8.0,3.8,15.7,11.3,8.8,33.2,1,14,14,14,7,5,27,5,16,27,3,1,2,2
1996-97,1610612742,Dallas Mavericks,82,24,58,0.293,48.3,106.0,27.6,0.65,8.0,4.3,17.5,13.7,14.6,39.1,1,24,24,24,20,16,20,25,17,21,14,10,23,11
1996-97,1610612743,Denver Nuggets,82,21,61,0.256,48.6,109.7,29.9,0.666,6.1,5.9,19.3,15.6,13.4,45.4,1,26,26,26,1,25,5,14,29,4,27,25,19,26
1996-97,1610612765,Detroit Pistons,82,54,28,0.659,48.4,102.6,28.0,0.675,7.7,3.5,14.0,13.2,9.5,32.2,1,9,9,9,14,9,18,8,22,29,1,6,5,1
1996-97,1610612744,Golden State Warriors,82,30,52,0.366,48.5,110.3,27.5,0.648,7.5,4.4,20.7,15.2,12.2,43.4,1,21,21,21,6,28,22,27,25,20,29,24,11,23
1996-97,1610612745,Houston Rockets,82,57,25,0.695,48.4,102.8,31.3,0.692,8.4,4.2,18.2,14.2,12.7,39.7,1,4,4,4,13,11,1,2,11,24,20,13,14,12
1996-97,1610612754,Indiana Pacers,82,39,43,0.476,48.6,102.9,29.1,0.668,7.1,4.8,18.3,13.4,13.2,35.0,1,17,17,17,1,12,10,13,28,14,21,7,18,6
1996-97,1610612746,Los Angeles Clippers,82,36,46,0.439,48.6,106.2,27.3,0.654,8.9,5.4,18.2,14.0,12.7,44.3,1,18,18,18,1,17,24,22,5,7,18,12,15,24
1996-97,1610612747,Los Angeles Lakers,82,56,26,0.683,48.6,102.3,29.4,0.658,9.0,7.0,16.1,14.9,13.6,40.5,1,7,7,7,1,8,7,18,4,1,4,22,20,14
1996-97,1610612748,Miami Heat,82,61,21,0.744,48.3,99.2,29.3,0.678,7.9,5.4,17.1,12.9,9.4,37.7,1,3,3,3,18,1,9,6,18,8,11,4,4,8
1996-97,1610612749,Milwaukee Bucks,82,33,49,0.402,48.1,106.7,27.6,0.669,7.7,4.2,18.5,13.4,17.0,44.4,1,20,20,20,27,19,20,11,21,23,23,7,28,25
1996-97,1610612750,Minnesota Timberwolves,82,40,42,0.488,48.2,105.5,28.1,0.649,7.5,6.8,16.9,14.5,13.0,42.2,1,15,15,15,22,15,16,26,24,2,10,18,17,17
1996-97,1610612751,New Jersey Nets,82,26,56,0.317,48.2,107.2,29.0,0.669,8.3,5.9,17.7,14.3,14.9,43.3,1,23,23,23,22,23,11,12,13,5,15,14,24,20
1996-97,1610612752,New York Knicks,82,57,25,0.695,48.4,99.5,30.7,0.7,7.7,4.6,18.4,12.5,8.9,33.8,1,4,4,4,7,2,2,1,23,17,22,2,3,3
1996-97,1610612753,Orlando Magic,82,45,37,0.549,48.4,104.2,27.1,0.651,8.5,4.4,17.7,14.3,16.4,43.4,1,12,12,12,7,14,25,24,10,18,16,15,26,22
1996-97,1610612755,Philadelphia 76ers,82,22,60,0.268,48.2,109.5,28.7,0.654,8.3,4.8,20.6,16.5,16.5,48.1,1,25,25,25,25,24,13,23,12,14,28,29,27,28
1996-97,1610612756,Phoenix Suns,82,40,42,0.488,48.4,107.1,29.0,0.663,8.1,3.9,16.2,15.6,11.6,43.3,1,15,15,15,7,22,11,15,14,26,6,26,10,21
1996-97,1610612757,Portland Trail Blazers,82,49,33,0.598,48.4,102.1,30.4,0.691,7.8,5.3,18.2,12.7,12.4,38.9,1,11,11,11,7,7,3,3,20,9,19,3,12,10
