SEASON,TEAM_ID,TEAM_NAME,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,AST,OREB,DREB,REB,TOV,STL,BLK,BLKA,PF,PFD,PLUS_MINUS,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,RESTRICTED_AREA_FGM,RESTRICTED_AREA_FGA,RESTRICTED_AREA_FG_PCT,IN_THE_PAINT_(NON-RA)_FGM,IN_THE_PAINT_(NON-RA)_FGA,IN_THE_PAINT_(NON-RA)_FG_PCT,MID-RANGE_FGM,MID-RANGE_FGA,MID-RANGE_FG_PCT,CORNER_3_FGM,CORNER_3_FGA,CORNER_3_FG_PCT,ABOVE_THE_BREAK_3_FGM,ABOVE_THE_BREAK_3_FGA,ABOVE_THE_BREAK_3_FG_PCT,3&D SPECIALIST,VERSATILE PLAYMAKER,BALANCED SHOT CREATOR,INTERIOR SCORER,RIM-RUNNER,FLOOR STRETCHER,HYBRID BIG,ISOLATION SCORER,OFF-BALL SHOOTER,CLUSTER
1996-97,1610612737,Atlanta Hawks,82,48.3,94.8,34.3,76.9,0.446,8.0,22.4,0.36,18.2,23.8,0.763,19.0,12.5,28.7,41.1,15.0,8.5,5.2,4.0,19.4,0.1,5.4,16.1,14.4,11.3,36.6,105.4,106.4,98.9,100.3,6.5,6.2,0.554,1.27,15.5,0.334,0.67,0.505,0.168,0.498,0.542,89.6,88.54,73.78,7304,0.539,17.8,13.2,8.9,35.1,0.709,0.291,0.554,0.183,0.254,0.094,0.192,0.188,0.37,0.505,0.495,0.712,0.288,0.554,0.446,14.7,27.0,0.543,2.9,6.6,0.436,11.9,29.9,0.399,1.5,3.8,0.401,3.4,9.7,0.349,0.0,0.357,0.0189,0.3401,0.0518,0.1357,0.0,0.0,0.0964,5
1996-97,1610612738,Boston Celtics,82,48.5,100.6,37.4,85.0,0.44,5.7,16.2,0.351,20.1,26.8,0.75,21.9,13.3,26.7,40.0,16.4,9.9,3.8,6.8,23.4,0.1,-7.3,19.0,14.6,15.9,52.7,100.8,102.9,108.8,110.1,-8.0,-7.2,0.584,1.34,16.1,0.329,0.658,0.482,0.167,0.474,0.52,98.3,96.78,80.65,8014,0.434,20.4,15.4,16.5,45.1,0.809,0.191,0.63,0.182,0.17,0.164,0.2,0.203,0.449,0.542,0.458,0.822,0.178,0.584,0.416,19.3,44.0,0.438,3.3,6.9,0.478,11.4,23.8,0.477,1.4,3.3,0.43,2.1,7.1,0.298,0.0,0.0792,0.272,0.2357,0.0339,0.1165,0.1102,0.1525,0.0,4
1996-97,1610612739,Cleveland Cavaliers,82,48.4,87.5,33.0,72.8,0.453,5.9,15.7,0.376,15.6,21.6,0.723,20.9,11.1,26.3,37.4,14.5,8.0,3.8,4.3,23.0,0.2,1.8,15.7,11.3,8.8,33.2,102.0,102.7,99.4,100.8,2.6,1.9,0.634,1.44,17.5,0.322,0.681,0.499,0.17,0.493,0.531,85.2,84.31,70.25,6983,0.512,18.2,12.0,8.2,32.7,0.785,0.215,0.619,0.246,0.202,0.094,0.179,0.208,0.374,0.594,0.406,0.816,0.184,0.634,0.366,13.2,23.8,0.557,3.1,8.2,0.381,14.4,34.5,0.417,1.0,2.6,0.367,1.3,3.9,0.345,0.0,0.0122,0.0,0.0,0.1794,0.4144,0.1056,0.2605,0.0278,2
1996-97,1610612741,Chicago Bulls,82,48.1,103.1,40.0,84.4,0.473,6.4,17.1,0.373,16.8,22.5,0.747,26.1,15.1,30.0,45.1,13.5,8.7,4.0,3.5,19.7,0.2,10.8,14.2,14.4,10.5,38.5,111.1,112.4,99.2,100.7,12.0,11.8,0.654,1.93,19.4,0.374,0.67,0.524,0.147,0.511,0.547,92.7,91.5,76.25,7522,0.586,18.6,16.5,12.4,36.7,0.797,0.203,0.651,0.296,0.186,0.12,0.163,0.18,0.356,0.621,0.379,0.826,0.174,0.654,0.346,14.6,26.6,0.548,3.8,8.0,0.468,18.8,41.5,0.452,0.8,2.0,0.412,2.2,6.5,0.33,0.0,0.0,0.4529,0.0928,0.1747,0.0357,0.06,0.0,0.1839,4
1996-97,1610612742,Dallas Mavericks,82,48.3,90.6,34.3,78.7,0.436,5.2,16.0,0.326,16.8,23.4,0.717,20.3,12.7,27.6,40.3,16.1,8.0,4.3,5.3,21.9,0.2,-6.4,17.5,13.7,14.6,39.1,98.0,99.5,105.7,106.0,-7.7,-6.5,0.591,1.26,16.0,0.332,0.65,0.488,0.177,0.469,0.509,91.5,90.65,75.54,7464,0.448,16.6,14.0,13.5,39.1,0.796,0.204,0.642,0.21,0.173,0.149,0.185,0.183,0.432,0.544,0.456,0.853,0.147,0.591,0.409,15.5,27.4,0.564,4.1,10.3,0.398,12.3,33.4,0.368,1.0,2.7,0.366,1.5,5.0,0.307,0.0,0.2441,0.2376,0.1719,0.1271,0.0,0.0215,0.0988,0.0991,1
1996-97,1610612743,Denver Nuggets,82,48.6,97.8,35.8,81.5,0.439,7.8,20.9,0.372,18.5,24.3,0.761,23.0,12.1,29.9,42.0,16.6,6.1,5.9,5.5,21.8,0.2,-6.3,19.3,15.6,13.4,45.4,101.2,103.1,108.2,109.7,-7.0,-6.6,0.644,1.39,17.4,0.324,0.666,0.496,0.175,0.486,0.53,95.2,93.67,78.06,7776,0.461,14.1,14.2,12.1,35.1,0.744,0.256,0.573,0.214,0.238,0.124,0.189,0.144,0.359,0.595,0.405,0.821,0.179,0.644,0.356,13.0,24.4,0.534,4.6,9.8,0.467,14.2,36.4,0.392,0.9,2.7,0.341,3.1,8.4,0.365,0.0,0.2074,0.256,0.0921,0.1558,0.1542,0.1345,0.0,0.0,1
1996-97,1610612744,Golden State Warriors,82,48.5,99.6,36.5,80.1,0.456,5.9,16.6,0.353,20.7,26.6,0.778,22.2,13.2,27.5,40.8,17.2,7.5,4.4,4.8,21.8,0.1,-4.7,20.7,15.2,12.2,43.4,104.1,105.3,108.9,110.3,-4.8,-5.0,0.608,1.29,16.8,0.347,0.648,0.497,0.182,0.493,0.543,94.7,93.58,77.98,7761,0.464,17.2,15.3,9.7,40.7,0.792,0.208,0.616,0.207,0.177,0.097,0.208,0.173,0.408,0.578,0.422,0.765,0.235,0.608,0.392,15.5,26.8,0.578,4.9,11.0,0.442,13.7,34.8,0.395,0.8,1.9,0.397,1.7,5.6,0.307,0.0,0.3945,0.0,0.1082,0.1009,0.1899,0.2065,0.0,0.0,5
1996-97,1610612745,Houston Rockets,82,48.4,100.6,37.0,79.1,0.468,8.2,22.4,0.365,18.3,24.3,0.755,24.5,11.3,31.3,42.6,16.6,8.4,4.2,4.5,19.6,0.2,4.5,18.2,14.2,12.7,39.7,105.8,107.5,101.4,102.8,4.4,4.7,0.663,1.47,18.7,0.318,0.692,0.514,0.178,0.52,0.56,94.1,92.73,77.27,7674,0.536,16.4,13.3,12.0,42.9,0.716,0.284,0.574,0.147,0.244,0.119,0.182,0.163,0.426,0.615,0.385,0.833,0.167,0.663,0.337,16.0,26.8,0.596,5.5,11.5,0.473,11.8,30.6,0.386,1.4,3.4,0.409,2.4,6.6,0.36,0.0516,0.0367,0.164,0.2006,0.1872,0.0579,0.0,0.0,0.302,0
1996-97,1610612746,Los Angeles Clippers,82,48.6,97.2,36.5,81.7,0.446,5.8,16.3,0.354,18.5,25.3,0.731,20.3,13.3,27.3,40.7,16.0,8.9,5.4,5.1,24.0,0.1,-2.4,18.2,14.0,12.7,44.3,101.8,103.5,104.9,106.2,-3.1,-2.8,0.556,1.27,15.6,0.339,0.654,0.492,0.17,0.482,0.524,94.0,92.65,77.21,7703,0.475,18.5,15.2,13.4,40.7,0.8,0.2,0.631,0.213,0.178,0.138,0.19,0.19,0.418,0.515,0.485,0.776,0.224,0.556,0.444,16.6,30.3,0.549,3.7,8.6,0.427,13.4,34.4,0.389,0.8,1.8,0.454,2.0,6.5,0.305,0.0,0.1612,0.3123,0.2455,0.0,0.0,0.1523,0.0913,0.0375,4
1996-97,1610612747,Los Angeles Lakers,82,48.6,100.0,36.8,81.0,0.454,6.7,18.3,0.367,19.7,28.4,0.692,22.5,13.3,29.4,42.8,14.9,9.0,7.0,4.7,22.2,0.1,4.3,16.1,14.9,13.6,40.5,105.2,106.4,100.8,102.3,4.3,4.2,0.611,1.51,17.0,0.343,0.658,0.501,0.159,0.496,0.535,93.8,92.61,77.18,7705,0.53,18.7,14.2,15.3,46.5,0.774,0.226,0.602,0.136,0.202,0.153,0.197,0.187,0.465,0.587,0.413,0.717,0.283,0.611,0.389,18.5,33.9,0.546,4.8,10.9,0.439,9.5,25.4,0.375,1.0,2.2,0.458,3.2,9.0,0.352,0.0,0.0,0.1916,0.0469,0.2966,0.1347,0.0824,0.1806,0.0672,0
